method,missingness_name,missingness_mechanism,missingness_scope,availability_bucket,single_axis,fairness_metric,n_single_axis_improvements,n_hidden_regressions,hidden_regression_rate
reweighing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,SEX,equalized_odds,21,7,0.3333333333333333
reweighing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,RAC1P,equalized_odds,142,46,0.323943661971831
reweighing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,SEX,equalized_odds,28,11,0.39285714285714285
reweighing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,RAC1P,equalized_odds,123,40,0.3252032520325203
reweighing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,SEX,equalized_odds,24,11,0.4583333333333333
reweighing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,RAC1P,equalized_odds,179,61,0.3407821229050279
reweighing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,SEX,equalized_odds,55,24,0.43636363636363634
reweighing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,RAC1P,equalized_odds,170,57,0.3352941176470588
reweighing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,SEX,equalized_odds,61,23,0.3770491803278688
reweighing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,RAC1P,equalized_odds,140,46,0.32857142857142857
reweighing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,SEX,equalized_odds,66,27,0.4090909090909091
reweighing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,RAC1P,equalized_odds,178,63,0.3539325842696629
reweighing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,SEX,equalized_odds,74,32,0.43243243243243246
reweighing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,RAC1P,equalized_odds,189,75,0.3968253968253968
reweighing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,SEX,equalized_odds,73,31,0.4246575342465753
reweighing,full,mcar,train_and_prediction,1.0,RAC1P,equalized_odds,202,86,0.42574257425742573
reweighing,full,mcar,train_and_prediction,1.0,SEX,equalized_odds,101,45,0.44554455445544555
threshold_optimizer_eo,none_observed,mcar,train_and_prediction,0.0,RAC1P,demographic_parity,77,47,0.6103896103896104
threshold_optimizer_eo,none_observed,mcar,train_and_prediction,0.0,SEX,demographic_parity,2,2,1.0
threshold_optimizer_eo,mcar_10_train_prediction,mcar,train_and_prediction,0.1,RAC1P,demographic_parity,372,357,0.9596774193548387
threshold_optimizer_eo,mcar_10_train_prediction,mcar,train_and_prediction,0.1,SEX,demographic_parity,210,204,0.9714285714285714
threshold_optimizer_eo,mnar_10_train_prediction,mnar,train_and_prediction,0.1,RAC1P,demographic_parity,327,311,0.9510703363914373
threshold_optimizer_eo,mnar_10_train_prediction,mnar,train_and_prediction,0.1,SEX,demographic_parity,187,179,0.9572192513368984
threshold_optimizer_eo,mcar_20_train_prediction,mcar,train_and_prediction,0.2,RAC1P,demographic_parity,382,366,0.9581151832460733
threshold_optimizer_eo,mcar_20_train_prediction,mcar,train_and_prediction,0.2,SEX,demographic_parity,229,222,0.9694323144104804
threshold_optimizer_eo,mnar_20_train_prediction,mnar,train_and_prediction,0.2,RAC1P,demographic_parity,355,337,0.9492957746478873
threshold_optimizer_eo,mnar_20_train_prediction,mnar,train_and_prediction,0.2,SEX,demographic_parity,226,217,0.9601769911504425
threshold_optimizer_eo,mcar_40_train_prediction,mcar,train_and_prediction,0.4,RAC1P,demographic_parity,383,368,0.9608355091383812
threshold_optimizer_eo,mcar_40_train_prediction,mcar,train_and_prediction,0.4,SEX,demographic_parity,239,228,0.9539748953974896
threshold_optimizer_eo,mcar_50_train_prediction,mcar,train_and_prediction,0.5,RAC1P,demographic_parity,394,368,0.934010152284264
threshold_optimizer_eo,mcar_50_train_prediction,mcar,train_and_prediction,0.5,SEX,demographic_parity,251,231,0.9203187250996016
threshold_optimizer_eo,mnar_50_train_prediction,mnar,train_and_prediction,0.5,RAC1P,demographic_parity,384,372,0.96875
threshold_optimizer_eo,mnar_50_train_prediction,mnar,train_and_prediction,0.5,SEX,demographic_parity,280,271,0.9678571428571429
threshold_optimizer_eo,mcar_60_train_prediction,mcar,train_and_prediction,0.6,RAC1P,demographic_parity,392,360,0.9183673469387755
threshold_optimizer_eo,mcar_60_train_prediction,mcar,train_and_prediction,0.6,SEX,demographic_parity,262,246,0.9389312977099237
threshold_optimizer_eo,mcar_80_train_prediction,mcar,train_and_prediction,0.8,RAC1P,demographic_parity,392,362,0.923469387755102
threshold_optimizer_eo,mcar_80_train_prediction,mcar,train_and_prediction,0.8,SEX,demographic_parity,251,231,0.9203187250996016
threshold_optimizer_eo,full,mcar,train_and_prediction,1.0,RAC1P,demographic_parity,392,360,0.9183673469387755
threshold_optimizer_eo,full,mcar,train_and_prediction,1.0,SEX,demographic_parity,255,237,0.9294117647058824
threshold_optimizer_eo,none_observed,mcar,train_and_prediction,0.0,RAC1P,equalized_odds,183,120,0.6557377049180327
threshold_optimizer_eo,none_observed,mcar,train_and_prediction,0.0,SEX,equalized_odds,85,70,0.8235294117647058
threshold_optimizer_eo,mcar_10_train_prediction,mcar,train_and_prediction,0.1,RAC1P,equalized_odds,368,351,0.9538043478260869
threshold_optimizer_eo,mcar_10_train_prediction,mcar,train_and_prediction,0.1,SEX,equalized_odds,310,301,0.9709677419354839
threshold_optimizer_eo,mnar_10_train_prediction,mnar,train_and_prediction,0.1,RAC1P,equalized_odds,336,314,0.9345238095238095
threshold_optimizer_eo,mnar_10_train_prediction,mnar,train_and_prediction,0.1,SEX,equalized_odds,289,268,0.9273356401384083
threshold_optimizer_eo,mcar_20_train_prediction,mcar,train_and_prediction,0.2,RAC1P,equalized_odds,382,365,0.9554973821989529
threshold_optimizer_eo,mcar_20_train_prediction,mcar,train_and_prediction,0.2,SEX,equalized_odds,330,312,0.9454545454545454
threshold_optimizer_eo,mnar_20_train_prediction,mnar,train_and_prediction,0.2,RAC1P,equalized_odds,361,342,0.9473684210526315
threshold_optimizer_eo,mnar_20_train_prediction,mnar,train_and_prediction,0.2,SEX,equalized_odds,328,314,0.9573170731707317
threshold_optimizer_eo,mcar_40_train_prediction,mcar,train_and_prediction,0.4,RAC1P,equalized_odds,354,342,0.9661016949152542
threshold_optimizer_eo,mcar_40_train_prediction,mcar,train_and_prediction,0.4,SEX,equalized_odds,333,317,0.9519519519519519
threshold_optimizer_eo,mcar_50_train_prediction,mcar,train_and_prediction,0.5,RAC1P,equalized_odds,358,335,0.9357541899441341
threshold_optimizer_eo,mcar_50_train_prediction,mcar,train_and_prediction,0.5,SEX,equalized_odds,342,315,0.9210526315789473
threshold_optimizer_eo,mnar_50_train_prediction,mnar,train_and_prediction,0.5,RAC1P,equalized_odds,370,355,0.9594594594594594
threshold_optimizer_eo,mnar_50_train_prediction,mnar,train_and_prediction,0.5,SEX,equalized_odds,348,335,0.9626436781609196
threshold_optimizer_eo,mcar_60_train_prediction,mcar,train_and_prediction,0.6,RAC1P,equalized_odds,362,330,0.9116022099447514
threshold_optimizer_eo,mcar_60_train_prediction,mcar,train_and_prediction,0.6,SEX,equalized_odds,345,314,0.9101449275362319
threshold_optimizer_eo,mcar_80_train_prediction,mcar,train_and_prediction,0.8,RAC1P,equalized_odds,364,337,0.9258241758241759
threshold_optimizer_eo,mcar_80_train_prediction,mcar,train_and_prediction,0.8,SEX,equalized_odds,339,309,0.911504424778761
threshold_optimizer_eo,full,mcar,train_and_prediction,1.0,RAC1P,equalized_odds,365,331,0.9068493150684932
threshold_optimizer_eo,full,mcar,train_and_prediction,1.0,SEX,equalized_odds,328,298,0.9085365853658537
