task,split_mode,method,missingness_name,missingness_mechanism,missingness_scope,availability_bucket,n_runs,train_observed_fraction,prediction_observed_fraction,accuracy,balanced_accuracy,roc_auc,brier,rac1p_demographic_parity_diff,sex_demographic_parity_diff,rac1p_x_sex_demographic_parity_diff,rac1p_equalized_odds_diff,sex_equalized_odds_diff,rac1p_x_sex_equalized_odds_diff,rac1p_worst_group_accuracy,sex_worst_group_accuracy,rac1p_x_sex_worst_group_accuracy
ACSEmployment,geographic,erm,none_observed,mcar,train_and_prediction,0.0,125,0.0,0.0,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mcar_10_train_prediction,mcar,train_and_prediction,0.1,125,0.1,0.1,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mnar_10_train_prediction,mnar,train_and_prediction,0.1,125,0.1001796266666666,0.0992126666666666,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mcar_20_train_prediction,mcar,train_and_prediction,0.2,125,0.2,0.2,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mnar_20_train_prediction,mnar,train_and_prediction,0.2,125,0.2006437333333333,0.2002306666666666,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mcar_40_train_prediction,mcar,train_and_prediction,0.4,125,0.4,0.4,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mcar_50_train_prediction,mcar,train_and_prediction,0.5,125,0.5,0.5,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mnar_50_train_prediction,mnar,train_and_prediction,0.5,125,0.5003886933333334,0.4959459999999999,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mcar_60_train_prediction,mcar,train_and_prediction,0.6,125,0.6,0.6,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,mcar_80_train_prediction,mcar,train_and_prediction,0.8,125,0.8,0.8,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,erm,full,mcar,train_and_prediction,1.0,125,1.0,1.0,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,feature_mixing,none_observed,mcar,train_and_prediction,0.0,125,0.0,0.0,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,125,0.1,0.1,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,125,0.1001796266666666,0.0992126666666666,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,125,0.2,0.2,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,125,0.2006437333333333,0.2002306666666666,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,125,0.4,0.4,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,125,0.5,0.5,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,125,0.5003886933333334,0.4959459999999999,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,125,0.6,0.6,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,125,0.8,0.8,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,feature_mixing,full,mcar,train_and_prediction,1.0,125,1.0,1.0,0.82085,0.8242492611138269,0.8913468674840643,0.1317707420441581,0.2072201576707097,0.0122681716420168,0.2547346206720389,0.1930228532779326,0.06835368364837,0.2887054973972057,0.7575645054926791,0.8018535931517744,0.7213934458800989
ACSEmployment,geographic,protected_group_mixing,none_observed,mcar,train_and_prediction,0.0,125,0.0,0.0,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,protected_group_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,125,0.1,0.1,0.819842,0.8229849385038351,0.8900933077049491,0.1326234754526082,0.2087059465416902,0.0116631652962171,0.2549700479285601,0.1974738635403891,0.0656086000975905,0.2910160606543958,0.7555977012928011,0.8020525027840393,0.720048296535074
ACSEmployment,geographic,protected_group_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,125,0.1001796266666666,0.0992126666666666,0.8195746666666667,0.8227907438257804,0.8899186123357337,0.1326739460474948,0.2087137131756208,0.0117937169470291,0.2559998630595817,0.1956176373202882,0.0657307482757572,0.2894182902517829,0.7574445477129899,0.8016255042979904,0.7197490661051935
ACSEmployment,geographic,protected_group_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,125,0.2,0.2,0.820142,0.8232201006111685,0.8903775938455648,0.1323675804892469,0.2087260391797866,0.0116150754964218,0.2560653585370008,0.1963450261014974,0.0657283112161334,0.2892426101937844,0.7572290470879991,0.8022168138608617,0.7204959676276651
ACSEmployment,geographic,protected_group_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,125,0.2006437333333333,0.2002306666666666,0.8197886666666667,0.8229487324593027,0.889894767892422,0.1326837960672851,0.2076035121376776,0.0117788216783641,0.2532066274505994,0.195731093245055,0.0657069063052121,0.2869480925127441,0.7561456059960655,0.8019306037763125,0.7206817015302012
ACSEmployment,geographic,protected_group_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,125,0.4,0.4,0.8201713333333334,0.8233044862655186,0.8905652875773099,0.1323049020440597,0.2106025723582907,0.0117138019425587,0.2569558715569285,0.1982701631107265,0.0657698417275799,0.288560331271585,0.7560045377341602,0.8021521781420066,0.7200502330720873
ACSEmployment,geographic,protected_group_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,125,0.5,0.5,0.820372,0.8235379970552118,0.8908158466677529,0.1321790831742548,0.2088021414009874,0.0116638873251485,0.2534912051137009,0.1960630097975007,0.065977720278424,0.2877451695004506,0.7572589695466786,0.8023472748583484,0.7210435914338172
ACSEmployment,geographic,protected_group_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,125,0.5003886933333334,0.4959459999999999,0.8202206666666667,0.823378848666229,0.8903603158777257,0.1323188757726793,0.207410309989614,0.0115877721939574,0.2546189726539501,0.1962981973247034,0.0658719569787569,0.2895855114307566,0.7568473561456037,0.8022294983811457,0.7213020845990152
ACSEmployment,geographic,protected_group_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,125,0.6,0.6,0.8202193333333333,0.8234219498894354,0.8908536036047391,0.1321597975145917,0.2088543193518922,0.0115100620879819,0.2558133036145454,0.1965009705643325,0.0656295779074103,0.2876144400446314,0.7566412988130711,0.8022812738117922,0.7204230018228845
ACSEmployment,geographic,protected_group_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,125,0.8,0.8,0.82029,0.8234907569035709,0.8909954346122806,0.1320934924397549,0.2086381566034774,0.0115663574193183,0.2551316615828283,0.1974560251359221,0.0655451532867881,0.2882099764257339,0.7555412277232436,0.8023632831769413,0.7204193624758347
ACSEmployment,geographic,protected_group_mixing,full,mcar,train_and_prediction,1.0,125,1.0,1.0,0.8203026666666667,0.8234802449363242,0.8909222502630259,0.1321174939672267,0.208574530625671,0.0116367371986085,0.2546092595745507,0.1953443425419875,0.0658256236572469,0.2885589655604723,0.756942256887138,0.8023451301846258,0.7214884475082033
ACSEmployment,geographic,reweighing,none_observed,mcar,train_and_prediction,0.0,125,0.0,0.0,0.820198,0.8229165614974954,0.8912807908808608,0.1327054685680143,0.2069149601477576,0.0118352436335474,0.2537592516862572,0.1938971082370604,0.0666118494241279,0.28966904727034,0.7558663734891509,0.8023357540304871,0.7199657486417075
ACSEmployment,geographic,reweighing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,125,0.1,0.1,0.8203186666666666,0.8230435964497262,0.891319692566829,0.1325834496495643,0.20705877767416,0.0119189320771535,0.2538033329191157,0.1949257318477234,0.0668888080512935,0.2890108164389166,0.7553254713950143,0.8024063700794206,0.720422079778638
ACSEmployment,geographic,reweighing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,125,0.1001796266666666,0.0992126666666666,0.82014,0.8228422426349826,0.8913597353130659,0.1325732467195972,0.2080384525253813,0.0118917071411123,0.2547012059033695,0.1952328008130786,0.0666406484007625,0.288021602790789,0.755492275662514,0.8023113462054674,0.7207994715788553
ACSEmployment,geographic,reweighing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,125,0.2,0.2,0.8201213333333334,0.8228464626118889,0.8912941086321234,0.1325863273600799,0.2071038115957982,0.0119411342350535,0.254606530424332,0.1955025300041404,0.0668743302150457,0.2895261326516042,0.7557185794948175,0.802296369790232,0.7200555283866243
ACSEmployment,geographic,reweighing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,125,0.2006437333333333,0.2002306666666666,0.8201566666666666,0.8228555962414279,0.8913277758335816,0.132595507431125,0.2062194391765316,0.0118517568322661,0.2534238346145844,0.1946997394837173,0.0667688070657194,0.2876478857028671,0.7559426544684217,0.8022907490513459,0.7207131701815169
ACSEmployment,geographic,reweighing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,125,0.4,0.4,0.8200046666666667,0.8227475997302874,0.8912257061604737,0.1326518899734803,0.2061048635123625,0.0120056028351166,0.2535993847562919,0.1933715159626968,0.0668566410512197,0.2889341981467566,0.7553816856224599,0.8021839180553423,0.7207335528703198
ACSEmployment,geographic,reweighing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,125,0.5,0.5,0.8201226666666667,0.822862856787991,0.8912198390393069,0.1326367518514171,0.2063014753727866,0.0120658759735469,0.2539006925934124,0.1945886902311467,0.067196067961558,0.2893370050782561,0.7560663198802487,0.8022202123394968,0.7203307959016502
ACSEmployment,geographic,reweighing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,125,0.5003886933333334,0.4959459999999999,0.8201806666666667,0.8229067045375186,0.8912851819820027,0.1325846108953661,0.2063557880232716,0.0121243907578085,0.2539628434602423,0.1950268937784531,0.0670119659894884,0.2872910701915265,0.7560466224766728,0.8023327390266984,0.7208918724756537
ACSEmployment,geographic,reweighing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,125,0.6,0.6,0.820044,0.8227714517540677,0.8912557368428404,0.1326053291982692,0.2072759103357048,0.0121012405660932,0.2541138185818242,0.1939128690937579,0.0669277317395663,0.2895746276367687,0.7557220130994672,0.802253201905066,0.7203067850514521
ACSEmployment,geographic,reweighing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,125,0.8,0.8,0.8200826666666667,0.8228269653133773,0.8911285973156203,0.1326544628655388,0.2063253882132903,0.0121798608250698,0.2534146387941468,0.1942439091402591,0.0670397033871553,0.288303194738492,0.7566489063069423,0.802291400141521,0.7209448688220667
ACSEmployment,geographic,reweighing,full,mcar,train_and_prediction,1.0,125,1.0,1.0,0.8200806666666666,0.8228397791504204,0.8910893545263344,0.1326264050958059,0.2047416699882518,0.0120933656450434,0.2521864610849474,0.1934923401702649,0.0671622017453737,0.2889513888220565,0.7550333647962096,0.8023124242427718,0.7196207208614479
ACSEmployment,geographic,threshold_optimizer_eo,none_observed,mcar,train_and_prediction,0.0,125,0.0,0.0,0.818584,0.8236591417034542,0.8236591417034542,0.1814159999999999,0.2068849879976888,0.0118019231371284,0.2554429105128869,0.1983050654262367,0.0646738057524483,0.2906877417998163,0.7552497733317046,0.7999515438011934,0.7165149126761817
ACSEmployment,geographic,threshold_optimizer_eo,mcar_10_train_prediction,mcar,train_and_prediction,0.1,125,0.1,0.1,0.7117680000000001,0.7145431514616449,0.7145431514616449,0.288232,0.1464184964483631,0.0093364212807426,0.1831593312612381,0.1677806725597591,0.042007928636926,0.2348244371659745,0.6525947083274818,0.6932005549576261,0.6165065823315409
ACSEmployment,geographic,threshold_optimizer_eo,mnar_10_train_prediction,mnar,train_and_prediction,0.1,125,0.1001796266666666,0.0992126666666666,0.713148,0.7165032598593537,0.7165032598593537,0.286852,0.1563316881761476,0.0108640217818571,0.1957202808515699,0.1810121498930981,0.0412871101083838,0.2529927180956556,0.6525865586035104,0.6955937322849055,0.6157373532069422
ACSEmployment,geographic,threshold_optimizer_eo,mcar_20_train_prediction,mcar,train_and_prediction,0.2,125,0.2,0.2,0.7130353333333334,0.7179790223652981,0.7179790223652981,0.2869646666666666,0.1495557879604834,0.0096043507623967,0.1834290843223534,0.1687378318502157,0.0360915834702256,0.2373539007740454,0.6562883506050882,0.6961573532457732,0.621951284520561
ACSEmployment,geographic,threshold_optimizer_eo,mnar_20_train_prediction,mnar,train_and_prediction,0.2,125,0.2006437333333333,0.2002306666666666,0.7074126666666666,0.7095904803187417,0.7095904803187417,0.2925873333333333,0.1445510220710583,0.009128644386607,0.1811066936068369,0.1687049044176359,0.0343428345828398,0.2346853428289989,0.6411332227646437,0.6904054188714481,0.6067643670241796
ACSEmployment,geographic,threshold_optimizer_eo,mcar_40_train_prediction,mcar,train_and_prediction,0.4,125,0.4,0.4,0.712468,0.7226070951272178,0.7226070951272178,0.287532,0.146859842894673,0.0118184403107581,0.1862928368508074,0.1748437911504147,0.0308721402607614,0.237528905182569,0.6555560258461473,0.6976904974226223,0.6265788706285214
ACSEmployment,geographic,threshold_optimizer_eo,mcar_50_train_prediction,mcar,train_and_prediction,0.5,125,0.5,0.5,0.7270606666666667,0.7379249013679128,0.7379249013679128,0.2729393333333333,0.143646630841184,0.0127175264096644,0.1883757266492452,0.1706614522696888,0.0273704352885959,0.2311026215902347,0.6721047670718379,0.7146017213885834,0.6427120067215136
ACSEmployment,geographic,threshold_optimizer_eo,mnar_50_train_prediction,mnar,train_and_prediction,0.5,125,0.5003886933333334,0.4959459999999999,0.7151633333333333,0.7214075318867269,0.7214075318867269,0.2848366666666666,0.1493287470216117,0.0153301507576474,0.1886548915622583,0.1691831352511589,0.0232749349831311,0.2377444291575953,0.6563850344688867,0.7028932505410217,0.6205703748576763
ACSEmployment,geographic,threshold_optimizer_eo,mcar_60_train_prediction,mcar,train_and_prediction,0.6,125,0.6,0.6,0.7278273333333333,0.7390013950645761,0.7390013950645761,0.2721726666666667,0.1445444630967168,0.0142274982064406,0.1896032676153141,0.173476750101288,0.0256853097087839,0.2373833890245599,0.6665334468279085,0.7159017499995051,0.6405603776456456
ACSEmployment,geographic,threshold_optimizer_eo,mcar_80_train_prediction,mcar,train_and_prediction,0.8,125,0.8,0.8,0.733514,0.7459052059060413,0.7459052059060413,0.266486,0.1382993882846858,0.0185124626470149,0.1886335811578736,0.1680275447518951,0.0201001203280402,0.2332158729533365,0.6726751946297362,0.7234658664303506,0.6457692160657781
ACSEmployment,geographic,threshold_optimizer_eo,full,mcar,train_and_prediction,1.0,125,1.0,1.0,0.736086,0.7490350211837907,0.7490350211837907,0.263914,0.1329316990381799,0.0242757438477978,0.1849408133691235,0.1609924390782766,0.0181474716201211,0.2302352936674299,0.675631707544955,0.7276496615444615,0.6497653256220001
ACSEmployment,temporal,erm,none_observed,mcar,train_and_prediction,0.0,15,0.0,0.0,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mcar_10_train_prediction,mcar,train_and_prediction,0.1,15,0.0999998220538842,0.1000001666708334,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mnar_10_train_prediction,mnar,train_and_prediction,0.1,15,0.1000060731787448,0.1007335013375334,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mcar_20_train_prediction,mcar,train_and_prediction,0.2,15,0.2000005331981839,0.2000003333416669,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mnar_20_train_prediction,mnar,train_and_prediction,0.2,15,0.2004503536755732,0.1997653276331908,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mcar_40_train_prediction,mcar,train_and_prediction,0.4,15,0.4000001778631351,0.4000006666833338,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mcar_50_train_prediction,mcar,train_and_prediction,0.5,15,0.4999999999170193,0.5000008333541672,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mnar_50_train_prediction,mnar,train_and_prediction,0.5,15,0.5005342340412826,0.5002574992291474,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mcar_60_train_prediction,mcar,train_and_prediction,0.6,15,0.599999822136865,0.5999993333166663,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,mcar_80_train_prediction,mcar,train_and_prediction,0.8,15,0.7999994668018161,0.7999996666583332,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,erm,full,mcar,train_and_prediction,1.0,15,1.0,1.0,0.8181380306590997,0.8201896158254615,0.8893720472197338,0.1339513573778812,0.2550063508773849,0.0055566721158401,0.3226104328667368,0.233638188342376,0.0654991787961826,0.338645355214591,0.7295110949850175,0.8004789294414817,0.6941310406513155
ACSEmployment,temporal,feature_mixing,none_observed,mcar,train_and_prediction,0.0,15,0.0,0.0,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
ACSEmployment,temporal,feature_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,15,0.0999998220538842,0.1000001666708334,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
ACSEmployment,temporal,feature_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,15,0.1000060731787448,0.1007335013375334,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
ACSEmployment,temporal,feature_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,15,0.2000005331981839,0.2000003333416669,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
ACSEmployment,temporal,feature_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,15,0.2004503536755732,0.1997653276331908,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
ACSEmployment,temporal,feature_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,15,0.4000001778631351,0.4000006666833338,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
ACSEmployment,temporal,feature_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,15,0.4999999999170193,0.5000008333541672,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
ACSEmployment,temporal,feature_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,15,0.5005342340412826,0.5002574992291474,0.8186463647424519,0.8210694771820888,0.8886252267677871,0.1335891037989617,0.2428737659774808,0.0042659417314868,0.3139558088323872,0.2216728570798527,0.0647199686065611,0.3412082979991837,0.7266990455998398,0.8006507753821829,0.6884477762947607
