task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,accuracy,balanced_accuracy,brier,fit_seconds
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,reweighing,0.820198,0.8229165614974954,0.13270546856801432,16.20234547747806
ACSEmployment,geographic,full,mcar,train_and_prediction,threshold_optimizer_eo,0.736086,0.7490350211837907,0.263914,5.125764542665093
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7117680000000001,0.7145431514616449,0.288232,4.99453400439769
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7130353333333334,0.7179790223652981,0.28696466666666665,5.061748104975683
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.712468,0.7226070951272178,0.287532,5.127221600624224
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7270606666666667,0.7379249013679128,0.2729393333333333,5.142036122533318
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7278273333333333,0.7390013950645761,0.2721726666666667,5.133612737610063
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.733514,0.7459052059060413,0.266486,5.14942054771175
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.713148,0.7165032598593537,0.286852,4.906148366436414
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.7074126666666666,0.7095904803187417,0.2925873333333333,4.99818560516576
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.7151633333333333,0.7214075318867269,0.2848366666666666,5.092828821503994
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,threshold_optimizer_eo,0.818584,0.8236591417034542,0.18141599999999997,4.506887498774282
ACSEmployment,temporal,full,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,17.500073316806024
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,17.104420563012717
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,16.970751993139675
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,17.029293093266098
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,16.934195364671965
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,16.922739562870024
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,16.935455291819622
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,16.86066972060659
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,16.83654640674619
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,17.002279266524237
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,erm,0.8181380306590997,0.8201896158254615,0.13395135737788125,17.17655595373993
