method,metric,n_pairs,delta_vs_erm,ci_low,ci_high,cluster_delta_vs_erm,cluster_ci_low,cluster_ci_high,n_clusters,paired_t,raw_p,holm_p
feature_mixing,target_availability,6160,0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,1.0,1.0
feature_mixing,prediction_target_availability,6160,0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,1.0,1.0
feature_mixing,accuracy,6160,-0.0006438239312568771,-0.0007285595122069677,-0.000562924619534202,-0.0006438239312568771,-0.0011395491475693716,-0.0001498814405579336,112,-15.231328495644544,1.8803981452394072e-51,1.7299662936202545e-49
feature_mixing,balanced_accuracy,6160,0.004053831648802952,0.003896503344466702,0.0042091068795274324,0.004053831648802952,0.0030144598558740875,0.005135025155896791,112,50.105821898566745,0.0,0.0
feature_mixing,positive_rate,6160,0.002527612948875065,0.0021496271750755668,0.00290263791442867,0.002527612948875065,-0.00013258432493461038,0.0051508724052198515,112,13.318675689382353,6.4027033014430595e-40,5.37827077321217e-38
feature_mixing,brier,6160,-0.0006720075578106377,-0.0007047802882895815,-0.000634803096852355,-0.0006720075578106377,-0.0008933277087950011,-0.00045354246629209844,112,-40.50452154938304,0.0,0.0
feature_mixing,roc_auc,6160,0.0008039210324687221,0.0006630550413871909,0.0009484726006752163,0.0008039210324687221,-0.00018069230351918666,0.0018445646713111314,112,10.933786845662773,1.4224656649910267e-27,1.06684924874327e-25
feature_mixing,rac1p_demographic_parity_diff,6160,0.0071743931489813735,0.006520166030401627,0.00779205365891673,0.0071743931489813735,0.00396692616765159,0.010471966515398171,112,23.6885862084183,8.489219294660806e-119,9.16835683823367e-117
feature_mixing,rac1p_demographic_parity_ratio,6160,0.0005936653315221479,-0.0002335301671277856,0.001457935781661218,0.0005936653315221479,-0.00395573495193359,0.005290073635863042,112,1.3886219441438585,0.16499795541682072,1.0
feature_mixing,rac1p_equal_opportunity_diff,6160,-0.0005116511050099347,-0.0015182488363273852,0.00047326120424336944,-0.0005116511050099347,-0.00475138261661534,0.003448977317465206,112,-0.9737752683160401,0.3302063779326099,1.0
feature_mixing,rac1p_fpr_diff,6160,0.012048087509024011,0.010932815520970586,0.013050296129381566,0.012048087509024011,0.007141944785598929,0.017841376782107555,112,21.588440454031776,1.0594888494234156e-99,1.080678626411884e-97
feature_mixing,rac1p_equalized_odds_diff,6160,0.0064604969798037325,0.005132624905636774,0.00795469489196819,0.0064604969798037325,6.678564961009669e-05,0.013718775364923521,112,9.104896090609735,1.1460826943155252e-19,7.678754051914018e-18
feature_mixing,rac1p_calibration_brier_diff,6160,0.0014851108242025205,0.0013681249826047947,0.0015916831909139964,0.0014851108242025205,0.0009680480545657021,0.002034270382057724,112,26.40923110144637,1.0768845758545504e-145,1.2707237995083695e-143
feature_mixing,rac1p_predictive_parity_diff,6160,-0.003474311429074052,-0.004489913917089492,-0.0024225684218148105,-0.003474311429074052,-0.006866702146508353,4.799289535626667e-05,112,-6.383065861400237,1.8622807831140468e-10,1.0242544307127258e-08
feature_mixing,rac1p_worst_group_accuracy,6160,0.00014258578612281876,-0.0002696851414483414,0.0005736247133542677,0.00014258578612281876,-0.0015994634714894581,0.001998899151933177,112,0.6867027881661162,0.4922958922963947,1.0
feature_mixing,rac1p_worst_group_fnr,6160,-0.004086639221788845,-0.0050179623544249225,-0.0030890025277192216,-0.004086639221788845,-0.00867764726100796,0.0006173278300792057,112,-8.26150564143142,1.744997831330813e-16,1.0993486337384122e-14
feature_mixing,rac1p_worst_group_fpr,6160,0.0001728361864005552,-0.000556163773728668,0.0009009792524463933,0.0001728361864005552,-0.003518031024239198,0.00369729438958896,112,0.48832059442289394,0.625340160916796,1.0
feature_mixing,sex_demographic_parity_diff,6160,0.002910060471923591,0.0027844153428300536,0.0030444490894460086,0.002910060471923591,0.002187534640247756,0.0036445801242019128,112,40.56263756508902,0.0,0.0
feature_mixing,sex_demographic_parity_ratio,6160,-0.002612057305288765,-0.002932233029269445,-0.0022874862375477775,-0.002612057305288765,-0.0038038836078999154,-0.0014180354028946528,112,-16.197077773765216,8.170155265237721e-58,7.598244396671081e-56
